urldata,namingsdata,datesdata,textdata
https://bloknot-volzhsky.ru/news/na-trasse-v-volzhskiy-proizoshlo-ocherednoe-dtp-of-1691578,На трассе в Волжский произошло очередное ДТП: официальные подробности,2024-01-19,"В Волжском 19 января правоохранительные органы раскрыли официальные подробности аварии, которая произошла накануне в Среднеахтубинском районе. Как сообщает редакция «Блокнот Волжский» со ссылкой на пресс-службу ГУ МВД России по Волгоградской области, 18 января в 12:40 часов. 60-летний водитель, управляя автомобилем «ДАФ» с полуприцепом, двигаясь по автодороге «Волгоград-Краснослободск-Средняя Ахтуба», напротив дома 1а по улице Центральная в хутор Новенький выехал на встречную полосу и столкнулся с двигающимся в попутном направлении по своей полосе движения, приступившим к развороту для дальнейшего движения в обратном направлении автомобилем «Ленд Ровер» под управлением 44-летнего водителя. В результате аварии водитель «Ленд Ровер» доставлен в больницу. Напомним, в Волжском вечером 18 января эвакуировали ТРЦ «ВолгаМолл» . Людей вывели на улицу ориентировочно около 16:30 часов. На место прибыли экстренные службы, здание проверяют кинологи."
https://bloknot-volzhsky.ru/news/kuda-zvonit-s-problemami-v-sfere-zhkkh-v-volzhskom-1691465,Куда звонить с проблемами в сфере ЖКХ в Волжском,2024-01-19,"Специалисты проинформировали волжан куда звонить при аварии в сфере ЖКХ. В случаях возникновения аварийных ситуаций в многоквартирных домах нужно сообщать по единому номеру вызова экстренных оперативных служб «112». Вызов, полиции, скорой помощи, пожарной и газовой службы – за все эти вопросы отвечает единая диспетчерская служба «112». Также в нее входят и вопросы, связанные с авариями на коммунальном хозяйстве, если проблема требует вмешательства специалистов экстренных служб. По телефону «112» волжане могут сообщить о протечках и затоплениях в квартире или авариях на водопроводных сетях, о проблемах с канализацией, таких так засоры, утечки, подтопления. Жители могут пожаловаться на проблемы с отоплением: его отсутствие, недостаточно высокую температуру или неравномерный прогрев отопительных приборов, аварии на тепловых сетях. Также операторы принимают обращения, связанные с газоснабжением: утечкой газа, аварийным отключением или неисправностью газового оборудования. Пожаловаться можно на аварийное отключение электричества, неисправности в работе лифтов. Диспетчеры службы «112» работают в круглосуточном режиме. Основная задача специалистов – принять вызов и определить степень его срочности. После определения степени срочности вызова диспетчер передает информацию о происшествии в соответствующие экстренные службы, такие как полиция, скорая помощь, пожарная охрана, аварийная служба газа и другие. Также о коммунальных авариях можно сообщить по телефону Единой диспетчерской службы: 8 (8443) 41-18-01; в комитет по обеспечению жизнедеятельности города администрации Волжского по телефону: 8 (8443)41-31-62. Жителям поселка Краснооктябрьский необходимо обращаться в отдел по управлению поселками администрации Волжского по телефону: 8 (8443) 42-75-83. Напомним, в олжанин участвовал в криминальной схеме по обману пенсионеров. Волгоградские оперативники задержали мужчину."
https://bloknot-volzhsky.ru/news/primety-na-kreshchenie-gospodne-chto-nelzya-delat--1691439,Приметы на Крещение Господне: что нельзя делать волжанам в этот день,2024-01-19,"Крещение Господне и Богоявление – один из самых значимых и торжественных праздников Православной церкви. По народным представлениям, ночью накануне Рождества открываются небеса. По поверьям, происходит это в момент, когда Спаситель входит в реку. Знамением этого события является волнение воды в стакане или чашке, которое чаще всего происходит в полночь. Дождавшись этого знака, нужно быстрее идти на улицу. Если человеку повезет увидеть «разверстые небеса», то он может просить у Господа все, что его душе угодно. Главное, что нельзя делать 19 января на Крещение, – это нырять в прорубь, не исповедавшись и не причастившись. Появился этот запрет от того, что в святую воду, а таковой в этот день является любая вода в открытом водоеме, не стоит окунаться «нечистому» человеку. Нельзя подавать на стол менее 9 блюд. Этот запрет появился потому, что в старину наши предки верили: тот, кто пожадничает на угощение, проживет весь год в голоде. Сегодня даже слезы радости запрещены – в дом несчастье приведешь. Нельзя, чтобы обувь за порогом оставалась – можно сильно заболеть. Кто сегодня будет думать о дурном или же пожелает кому-то зла, тому оно в стократном размере вернется. Поэтому 19 января запрещено ссориться, ругаться, кого-то оскорблять. Нельзя на Крещение давать в долг – достаток может из дома надолго уйти. Не стоит стричь волосы и ногти – можно судьбу свою срезать. Запрещено жаловаться, клеветать и сплетничать – на языке болячки выскочат. Напомним, о том, как доехать до мест купания, где они обустроены и другая информация о мероприятиях, приуроченных к празднованию Крещения в Волжском - в материале по ссылке ЗДЕСЬ ."
https://bloknot-volzhsky.ru/news/volzhane-obretut-finansovuyu-stabilnost-goroskop-n-1691427,Волжане обретут финансовую стабильность: гороскоп на 19 января,2024-01-19,"Волжский астролог Марк Межецкий составил астрологический гороскоп для волжан на пятницу, 19 января. Овен: Остерегайтесь третьего лишнего в отношениях. Телец: Прислушивайтесь к своей интуиции. Близнецы: Будьте готовы к изменениям в ваших планах. Рак: Проявите терпение и сосредоточенность в работе Лев: Звезды обещают вам всплеск креативных идей. Дева: Появится возможность получить желаемое повышение на работе. Весы: Постарайтесь не брать на себя слишком много дел. Скорпион: Будьте готовы к неожиданным приятным сюрпризам. Стрелец: Звезды обещают вам финансовую стабильность. Козерог: Будьте внимательны к своим чувствам и не подавляйте их Водолей: Будьте открыты новым идеям и готовы к экспериментам. Рыбы: Будьте внимательны, подписывая документы."
https://bloknot-volzhsky.ru/news/zhiteli-volzhskogo-mogut-pouchastvovat-v-federalno,Жители Волжского могут поучаствовать в федеральном проекте «Всей семьей»,2024-01-18,"Новогодние праздники закончились, но это не повод лишаться совместного отдыха с семьей и подарков. В России в это году реализуется проект «Всей семьей», приуроченный к году семьи. У участников есть возможность получить путевки на отдых, сертификаты или электронные книги. По информации с сайта Всейсемьей.рф участникам проекта предлагается выполнять несложные задания, целью которых будет разнообразить семейный досуг и провести время с близкими, например, нарядить елку, сделать самодельные пельмени или прокатиться с ледовой горки. Главное условие — сделать это всей семьей. За каждое выполненное задание участники гарантированно получат коллекционный тематический вкладыш на память, при условии если задание выполнено в течение 6 дней с момента публикации задания организаторами, а все задания выполнены до 29 марта. Помимо основных заданий на протяжении всей акции будут проводиться мини-конкурсы. Участие в них не влияет на выигрыш в акции, но дает возможность побороться за приятные подарки. Например, сейчас и до 26 января проходит дополнительный конкурс раскрасок. Дети участников акции должны стилизовать предложенную организаторами раскраску под свою семью. Креативность, по словам, представителей акции приветствуется. Детские рисунки ждут до полудня 26 января. Для участия в проекте необходимо зарегистрироваться на сайте Всейсемьей.рф. Стать участниками можно до 10 марта 2024, главное успеть выполнить все задания. Напоминаем, что Волжские хоккеисты обыграли команду Саратова . Юные спортсмены из «Торнадо» выиграли у соперников 3 этап турнира «Супер серия»."
https://bloknot-volzhsky.ru/news/politsiya-mchs-i-mediki-kak-v-volzhskom-spasali-ot,"Полиция, МЧС и медики: как в Волжском спасали от смерти в квартире одинокую женщину",2024-01-18,"В редакцию «Блокнот Волжский» 18 января позвонили жители дома №7 по улице Машиностроителей. Их обеспокоила соседка, которая почти две недели не выходила на связь. Волжане пытались достучаться до женщины, но дверь она не открывала. Куда обращаться в подобной ситуации волжане не знали. Соседи рассказали, что пожилая женщина проживает одна, а родственников у нее нет. В быту ей помогали соседи, но в последние две недели пенсионерка перестала открывать дверь знакомым, из квартиры больше не доносились шаги и другие звуки. Волжане забеспокоились и попытались открыть дверь в квартиру самостоятельно, однако нарушить закон и взломать дверь не решились. За помощью они обратились в редакцию «Блокнот Волжский». Корреспондент направил информацию в пресс-службу ГУ МВД России по Волгоградской области, которая передала данные своим коллегам из Главка, а те, в свою очередь, моментально отреагировали. — Вечером 18 января 2024 года участковый уполномоченный полиции Управления МВД России по г. Волжскому прибыл на адрес, по которому проживала пожилая женщина и, по словам соседей, длительное время не выходила на связь: не открывала дверь и не отвечала на звонки. Полицейский организовал прибытие на место сотрудников МЧС, которые вскрыли дверь квартиры, и медиков. Женщину обнаружили лежащей на полу в плохом самочувствии. Сейчас пенсионерка находится под присмотром врачей , — рассказали по разрешению ситуации в пресс-службе ГУ МВД России по Волгоградской области. Волжане, будьте внимательны друг к другу! Напомним, в Волжском вечером 18 января эвакуировали ТРЦ «ВолгаМолл» . Людей вывели на улицу ориентировочно около в 16:30 часов. На место прибыли экстренные службы, здание проверили. Опасности полиция не обнаружила, через полтора часа работа ТРЦ возобновилась."
https://bloknot-volzhsky.ru/news/neyroset-poleznyy-pomoshchnik-ili-ubiytsa-tvorches,Нейросеть - полезный помощник или убийца творчества? Волжский бренд-дизайнер о воздействии прогресса на жизнь,2024-01-18,"Искусственный интеллект все больше и больше внедряется в жизнь человека. О том, как поспевать за прогрессом и все ли новинки на пользу человечеству, рассказал бренд-дизайнер из Волжского. « Это прогресс, я считаю, и это не остановить. Фото с современного телефона — это уже не просто изображение, а картинка, которая была обработана нейросетью » - считает Максим Болотин, бренд-дизайнер из волжского и собеседник корреспондента. Ведущие мировые компании позволяют пользоваться своими наработками бесплатно: нейросети ежедневно обрабатывают сотни тысяч запросов от абсолютно разных людей. Таким образом они учатся находить лучший вариант решения заданной пользователем задачи. По мнению Максима, это хороший инструмент для профессионалов. « Если глаз замылен, то нейронка - это выход. Обычному человеку — это баловство, но можно использовать, чтобы придумать подарок или тему вечеринки. При дефиците идей это отличная штука ». Для использования нейросетей в работе все-таки необходимы знания по теме, использовать выданную информацию от ИИ в качестве истины не получится: « В контекст все равно придется погружаться, поэтому знание базы необходимо »,- утверждает Максим. Для пробных запросов подойдут ИИ от двух IT-гигантов. Здесь интуитивный интерфейс и простая навигация. Первый в списке - YaGPT. С данной ИИ обыватель мог столкнуться, например, в умных колонках или просто введя в поисковую систему Яндекса: « Давай придумаем ». Система может предлагать идеи на основе общедоступных материалов в сети — придумать идеи для стартапа, дать имя котенку или написать обучающий курс по интересующей теме. Нейросеть от Сбера Kandinsky - еще одна известная разработка в мире технологий. Регистрация не требуется, можно быстро сгенерировать картинку с помощью дорисовки загруженных изображений или генерации по введенному тексту от пользователя. С реализмом пока что у программы сложности, но можно получить изображение близко к мультяшному. Напомним, что в Волжском прошел 61 год с выпуска первой продукции заводом АТИ . 17 января 1963 года предприятие выпустило первую продукцию."
https://bloknot-volzhsky.ru/news/v-volzhskom-evakuiruyut-13-avtomobiley-na-shtrafst,В Волжском эвакуируют 13 автомобилей на штрафстоянку ,2024-01-18,"В Волжском сотрудники комитета по обеспечению жизнедеятельности города проводят планомерную работу по освобождению городских улиц от бесхозных автомобилей. Как сообщает редакция «Блокнот Волжский» со ссылкой на пресс-службу администрации города, в этом месяце подрядные организации КЖД уберут 13 автомобилей с признаками бесхозности. Брошенные автомобили эвакуируют с улиц: Мира, 24, 27, 103; Набережной, 77; Александрова, 33; 40 лет Победы, 12, 57; Оломоуцкой, 50; Химиков, 3; проспектов Ленина, 375а и Дружбы, 23а. Требования к владельцам убрать транспортные средства разместили на автомобилях еще осенью прошлого года. Однако водители не отреагировали на предупреждение инспекторов. В течение ближайшего времени транспортные средства доставят на специализированные стоянки по адресам: улица Пушкина, 190 и улица 87 Гвардейская, 37л. Здесь автомобили пробудут до вынесения судебного решения. Затраты по перемещению и хранению подлежат возмещению за счет средств владельца транспортного средства. Собственник транспортного средства может отказаться от права собственности на него в пользу администрации города, направив соответствующее обращение. Всю необходимую информацию можно получить в КЖД по адресу: улица Рихарда Зорге, дом 15, или по телефонам: 8-844-341-31-62, 8-844-341-31-43. Напомним, о том, как доехать до мест купания, где они обустроены и другая информация о мероприятиях, приуроченных к празднованию Крещения в Волжском - в материале по ссылке ЗДЕСЬ ."
https://bloknot-volzhsky.ru/news/posle-opila-derevev-cherez-skandal-u-podezda-sloma,После опила деревьев через скандал у подъезда сломали лавку и бросили ветки в Волжском,2024-01-18,"В редакцию «Блокнот Волжский» 18 января обратилась местная жительница Катерина. Р анее она уже обращалась к корреспонденту, когда у ее дома на Пушкина, 46 надломилась ветка и угрожала упасть на голову любому, кто проходил мимо. По словам Катерины, после публикации УК все-таки убрали сломанную ветку. Правда, спиленные ветки никто не убрал. По состоянию на 18 января, говорит девушка, после опила ветки у подъезда валяются части дерева. — 10 января после вашей публикации через 4 часа приехала автовышка и работники спилили опасные ветки. Но сделали они это неаккуратно и сломали нашу лавочку. Оставили после себя много мусора и уехали. Ветки обязаны по закону увезти в течение 3-х дней, но они уже лежат 8 дней. На наши заявки Лада Дом опять не реагирует, это ужасно. Видимо придется писать президенту, соседний дом уже написал, у них дело сдвинулось с мертвой точки, видимо только так Лада дом работает, через пенки , — пишет волжанка. Фото: читателя Блокнот Волжский Катерина К. По словам Катерины, «Лада Дом» не отвечает на заявки по поводу уборки спиленных веток. Жительница обращается в УК «Лада Дом» и профильный комитет администрации Волжского с просьбой провести проверку по данному факту и убрать ветки. Фото: читателя Блокнот Волжский Катерина К. Редакция готова опубликовать комментарий всех заинтересованных сторон. Напомним, что кинопоказ в ТЦ Волгамол был испорчен неадекватным поведением посетителей в состоянии опьянения. Гости навеселе громко смеялись и светили в зал фонариком."
https://bloknot-volzhsky.ru/news/volzhanin-peredaval-ukradennye-dengi-u-pensionerov,Волжанин передавал украденные деньги у пенсионеров мошенникам ,2024-01-18,"Волжанин участвовал в криминальной схеме по обману пенсионеров. Волгоградские оперативники задержали мужчину. Оперативники уголовного розыска совместно с коллегами из управлений МВД по Волгограду и Волжскому во взаимодействии с сотрудниками регионального УФСБ задержали подозреваемого в совершении мошенничеств в отношении пенсионеров. Как сообщает редакция «Блокнот Волжский» со ссылкой на пресс-службу ГУ МВД России по Волгоградской области, 34-летний ранее неоднократно судимый волжанин в мессенджере откликнулся на предложение о работе курьером, прошел инструктаж, и знал, что будет являться участником преступной схемы. Видео: пресс-служба ГУ МВД России по Волгоградской области Пенсионеров обзванивали работодатели задержанного и сообщали о дорожно-транспортных происшествиях с участием родственников. Чтобы избежать уголовной ответственности, аферисты требовали деньги и присылали к пожилым людям курьеров. А в обязанности задержанного входили сбор денег, которые привозили ему курьеры, и перевод их на счета кураторов. По имеющейся информации, злоумышленник за один день получил и перевел 280 тысяч рублей, похищенных у двоих пенсионеров из Волгограда и Волжского. В отношении фигуранта возбуждены уголовные дела по статье 159 УК РФ, он задержан в порядке статьи 91 УПК РФ. Решается вопрос об избрании ему меры пресечения в виде заключения под стражу. Устанавливается дополнительные эпизоды его противоправной деятельности. Напомним, накануне 16 января местный житель лишился 3,5 миллионов рублей. Мужчина взял крупный кредит и отдал деньги как позже выяснилось мошенникам в целях заработать."
